Country,average,standardError,fifth_percentile,twentyfitfh_percentile,ninetyfifth_lower,ninetyfifth_higher,seventyfifth,ninteyfifth,Wave,Benchmark,prefix,similarCountries
Singapore,615,2.9,450,565,609,620,675,743,1,0,3,
Chinese Taipei,607,1.7,491,565,604,610,652,712,1,0,,
"Korea, Rep. of",594,2.6,462,549,589,600,645,711,1,0,,"Hong Kong SAR;Japan"
Hong Kong SAR,594,4,440,547,586,602,651,718,1,0,†,"Korea, Rep. of;Japan"
Japan,591,2.3,472,545,586,595,639,704,1,0,,"Korea, Rep. of;Hong Kong SAR"
Macao SAR,582,1,444,533,580,584,636,704,1,0,,
Lithuania,561,2.9,426,512,555,566,613,679,1,0,2,"Türkiye (5);Dubai, UAE"
Türkiye (5),553,4.1,378,489,545,561,622,706,1,0,3,"Lithuania;England;Poland;Ireland;Romania;Dubai, UAE"
England,552,2.7,393,493,547,557,616,695,1,0,2,"Türkiye (5);Poland;Ireland;Romania;Dubai, UAE"
Poland,546,2,411,498,542,550,598,662,1,0,2,Türkiye (5);England;Ireland;Romania
Ireland,546,2.9,401,495,540,551,604,667,1,0,,Türkiye (5);England;Poland;Romania
Romania,542,4.8,389,487,532,551,601,672,1,0,2 ≡,Türkiye (5);England;Poland;Ireland;Netherlands;Latvia
Netherlands,537,2,426,494,533,541,583,638,1,0,†,Romania;Latvia;Bulgaria
Latvia,534,2.8,400,483,529,540,590,655,1,0,,Romania;Netherlands;Norway (5);Czech Republic;Sweden;Bulgaria;Finland
Norway (5),531,2,404,481,527,534,582,646,1,0,2,Latvia;Czech Republic;Sweden;Bulgaria;Finland;Australia
Czech Republic,530,2.2,404,482,526,535,581,646,1,0,2,Latvia;Norway (5);Sweden;Bulgaria;Finland;Australia;Serbia
Sweden,530,2.8,399,480,524,535,583,650,1,0,2,Latvia;Norway (5);Czech Republic;Bulgaria;Finland;Australia;Germany;Denmark;Serbia
Bulgaria,530,3.6,365,473,523,537,595,664,1,0,,Netherlands;Latvia;Norway (5);Czech Republic;Sweden;Finland;Australia;Germany;Denmark;Serbia;Hungary
Finland,529,2.5,391,478,524,534,585,652,1,0,,Latvia;Norway (5);Czech Republic;Sweden;Bulgaria;Australia;Germany;Denmark;Serbia
Australia,525,2.6,366,465,520,530,588,668,1,0,,Norway (5);Czech Republic;Sweden;Bulgaria;Finland;Germany;Denmark;Serbia;Belgium (Flemish);Hungary
Germany,524,2.1,393,475,520,528,576,643,1,0,,Sweden;Bulgaria;Finland;Australia;Denmark;Serbia;Belgium (Flemish);Hungary;Portugal;United States
Denmark,524,2.1,403,476,520,528,573,638,1,0,†,Sweden;Bulgaria;Finland;Australia;Germany;Serbia;Belgium (Flemish);Hungary;Portugal;United States
Serbia,523,3.3,383,471,516,529,578,645,1,0,2,"Czech Republic;Sweden;Bulgaria;Finland;Australia;Germany;Denmark;Belgium (Flemish);Hungary;Portugal;United States;Cyprus;Slovak Republic;Albania;Quebec, Canada"
Belgium (Flemish),521,2.4,402,471,516,526,571,634,1,0,2 †,"Australia;Germany;Denmark;Serbia;Hungary;Portugal;United States;Cyprus;Slovak Republic;Albania;Quebec, Canada"
Hungary,520,3.6,355,462,513,527,585,656,1,0,,"Bulgaria;Australia;Germany;Denmark;Serbia;Belgium (Flemish);Portugal;United States;Cyprus;Slovak Republic;Slovenia;Italy;Armenia;Albania;Quebec, Canada"
Portugal,517,2.8,378,460,512,523,576,646,1,0,,"Germany;Denmark;Serbia;Belgium (Flemish);Hungary;United States;Cyprus;Slovak Republic;Slovenia;Italy;Armenia;Albania;Quebec, Canada"
United States,516,3.1,347,451,510,523,586,666,1,0,2 †,"Germany;Denmark;Serbia;Belgium (Flemish);Hungary;Portugal;Cyprus;Slovak Republic;Slovenia;Italy;Armenia;Albania;Quebec, Canada"
Cyprus,516,2.5,373,464,511,521,573,641,1,0,2,"Serbia;Belgium (Flemish);Hungary;Portugal;United States;Slovak Republic;Slovenia;Italy;Armenia;Albania;Quebec, Canada"
Slovak Republic,515,3.1,363,469,509,521,572,632,1,0,,"Serbia;Belgium (Flemish);Hungary;Portugal;United States;Cyprus;Slovenia;Italy;Armenia;Albania;Quebec, Canada"
